ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0001730907-19-000002	101	Aclipse Therapeutics LLC	Raymond K. Houck	Raymond K. Houck	President and CEO	2019-02-15
0001768098-19-000001	101	VINTAGE CC SALES INC.	ANTHONY W ESERNIA	ANTHONY W ESERNIA	PRESIDENT	2019-02-15
0000919574-19-001825	101	Voyager Global Master Fund, L.P.	/s/ George J. Olah	George J. Olah	Compliance Officer	2019-02-15
0001315863-19-000203	101	Greenhouse Overseas Fund Ltd.	/s/Patrick J. Mitchell	Patrick J. Mitchell	Chief Financial Oficer	2019-02-15
0000919574-19-001823	101	Egerton Capital Equity Fund	/s/ Frank L. Hohmann III	Frank L. Hohmann III	Director	2019-02-15
0001315863-19-000202	101	Greenhouse Onshore Fund LP	/s/Patrick J. Mitchell	Patrick J. Mitchell	Chief Financial Officer	2019-02-15
0000919574-19-001821	101	VOYAGER SPECIALISTS LP	/s/ George J. Olah	George J. Olah	Compliance Officer	2019-02-15
0001731270-19-000001	101	AEA Mezzanine Fund IV LP	/s/ Barbara L. Burns	Barbara L. Burns	Secretary of the General Partner of the GP of the Issuer	2019-02-15
0001555029-19-000003	101	Specialty Surgery Center, LLC	Christopher J. Tutor	Christopher J. Tutor	Attorney duly authorized by the Issuer	2019-02-15
0001768076-19-000001	101	Eckington Residential Holdings, LLC	B. Cameron Pratt	B. Cameron Pratt	Authorized Person	2019-02-15
0000919574-19-001819	101	VOYAGER PARTNERS L P	/s/ George J. Olah	George J. Olah	Compliance Officer	2019-02-15
0001749837-19-000002	101	ZwitterCo, Inc.	/s/ Alex Rappaport	Alex Rappaport	President	2019-02-15
0001759943-19-000001	101	Bling Capital Fund I Opps-A LP	/s/ Benjamin Ling	Benjamin Ling	Managing Director of the General Partner	2019-02-15
0001768179-19-000001	101	ALLAGASH OPPORTUNITY ZONE CRE FUND I LP	ANTHONY BARKAN	ANTHONY BARKAN	CO-MANAGING MEMBER OF ISSUER'S GP	2019-02-13
0001666920-19-000001	101	Commonfund Ltd Duration Series, a Series of Commonfund Direct Series LLC	Kristofer Kwait	Kristofer Kwait	Director	2019-02-15
0000919574-19-001816	101	Two Sigma Absolute Return Cayman Fund, Ltd.	/s/ Matthew B. Siano	Matthew B.  Siano, Esq.	Managing Director, General Counsel	2019-02-15
0000902664-19-001179	101	New York State Empire Outlet Fund I, LLC	/s/ Johan Segerdahl	Johan Segerdahl	Managing Director of the Manager	2019-02-15
0001767830-19-000001	101	AxiaTP Holdings, LLC	/s/ Josh Ross	Josh Ross	Managing Partner	2019-02-14
0000902664-19-001178	101	PGIM Funds plc	/s/ Elizabeth Samson	Elizabeth Samson	Director	2019-02-15
0001768189-19-000001	101	Statim Holdings LLC	Todd Robinson	Todd Robinson	Attorney	2019-02-15
0001707541-19-000001	101	IUNU, INC.	Adam Greenberg	Adam Greenberg	CEO	2019-02-15
0000902664-19-001177	101	Pelham Long/Short Small Cap Fund Ltd	/s/ Hadyn Cunningham	Hadyn Cunningham	Director	2019-02-15
0001767333-19-000001	101	Kiwi Technologies Inc.	/s/ Adam Bercu	Adam Bercu	President	2019-02-15
0000902664-19-001176	101	Pelham Long/Short Fund LP	/s/ Hadyn Cunningham	Hadyn Cunningham	Director of the General Partner	2019-02-15
0000902664-19-001174	101	Pelham Long/Short Small Cap Fund LP	/s/ Hadyn Cunningham	Hadyn Cunningham	Director of the General Partner	2019-02-15
0000902664-19-001173	101	Pelham Long/Short Fund Ltd	/s/ Hadyn Cunningham	Hadyn Cunningham	Director	2019-02-15
0001768075-19-000001	101	NFC CEDAR RAPIDS LLC	Stephanie Preusch	Stephanie Preusch	Executive Director	2019-02-15
0000902664-19-001172	101	Bernstein Alternative Investment Strategies, LLC	/s/ Emerson Lee	Emerson Lee	Assistant Secretary of Alliance Bernstein L.P.	2019-02-15
0000902664-19-001171	101	Marshall Wace Funds LP - MW Eureka Plus (US) Fund	/s/ Linburgh Martin	Linburgh Martin	Director of the General Partner	2019-02-15
0000902664-19-001170	101	AB Alpha Europe Long Only Fund LP	/s/ Andrew Dickson	Andrew Dickson	Director of the General Partner	2019-02-15
0001085146-19-000969	101	Aperimus Offshore, Ltd.	/s/ Catherine L. Sellman	Catherine L. Sellman	Director	2019-02-15
0001727297-19-000001	101	Lansing Management Offshore, Ltd.	/s/ Sims Lansing	Sims Lansing	Director	2019-02-14
0000919574-19-001814	101	Manalapan Oracle Eagle Fund L.P.	/s/ Joseph Vidich	Joseph Vidich	Managing Member of the General Partner	2019-02-14
0001521597-19-000001	101	Seattle Funding Group of California, LLC	John Odegard	John Odegard	Manager	2019-02-14
0001764663-19-000001	101	Oquendo Seniors, LLC	Lorri Murphy	Lorri Murphy	Secretary-Vice President	2018-12-28
0001768159-19-000001	101	Eva's Wild, Inc.	Mark Titus	Mark Titus	President	2019-02-14
0001768177-19-000001	101	RBO Ventures II LLC	Inger Airheart	Inger Airheart	Chief Executive Officer	2019-02-07
0001768085-19-000001	101	Certain Lending, Inc.	/s/ Charles McKinney	Charles McKinney	Chief Executive Officer	2019-02-14
0001766491-19-000003	101	Transform, Inc.	Thomas Chiarella	Thomas Chiarella	Chief Executive Officer	2019-02-06
0001183740-19-000026	101	ELECTRAMECCANICA VEHICLES CORP.	/s/ Bal Bhullar	Bal Bhullar	CFO	2019-02-13
0001611467-19-000003	101	Seattle Funding Group, Ltd.	John Odegard	John Odegard	Governor	2019-02-14
0001721572-19-000001	101	45th Parallel Capital, L.P.	Robert Berlacher	Robert Berlacher	Manager of the General Partner	2019-02-14
0001766491-19-000002	101	CookUnity Inc.	Mateo Marietti	Mateo Marietti	Chief Executive Officer	2019-02-14
0001719170-19-000002	101	ZeroDB, Inc.	/s/MacLane Wilkison	MacLane Wilkison	Chief Executive Officer	2019-02-14
0001768123-19-000001	101	MovieComm, LLC	Scott DiGiammarino	Scott DiGiammarino	CEO and Managing Partner	2019-02-14
0001759746-19-000001	101	Bling Capital Fund I Opps LP	/s/ Benjamin Ling	Benjamin Ling	Managing Director of the General Partner	2019-02-14
0001768035-19-000001	101	Talent Alpha Inc.	Oluwatomiwa Mary Ogundipe	Tomiwa Ogundipe	Authorized Attorney	2019-02-14
0000950172-19-000033	101	Graticule Modular Fund Ltd	/s/ Oren Katz	Oren Katz	Director	2019-02-14
0001767814-19-000001	101	Grayhawk Venture Fund III, LP	Sherman Chu	Sherman Chu	Manager of General Partner	2019-02-14
0000950172-19-000032	101	Graticule Modular Intermediate Master Fund LP	/s/ Oren Katz	Oren Katz	COO/CFO of Graticule Modular GP LLC	2019-02-14
0001731609-19-000001	101	Core Classic Fund (QP) LP	/s/ Don DesPain	Don DesPain	Chief Compliance Officer	2019-02-14
0001683168-19-000408	101	Shop Simply, Inc.	/s/ Eric Peus	Eric Peus	Chief Financial Officer	2019-02-14
0001766954-19-000001	101	Glean Tech Fund II LP	LEVI NAGEL	LEVI NAGEL	MANAGING MEMBER	2019-02-14
0001697753-19-000001	101	Northwoods MOA I LLC	/s/Gregory Shalette	Gregory Shalette	Deputy General Counsel of Investment Manager of the Issuer	2019-02-14
0001619307-19-000001	101	Advantia Holdings LLC	Brent Westhoven	Brent Westhoven	Chief Financial Officer	2019-02-14
0001324673-19-000001	101	COURAGE SPECIAL SITUATIONS OFFSHORE FUND LTD	/s/ David Sampsell	David Sampsell	Director	2019-02-13
0001324669-19-000001	101	COURAGE SPECIAL SITUATIONS FUND LP	/s/ David Sampsell	David Sampsell	Executive Officer of General Partner	2019-02-13
0001665998-19-000001	101	AG Great Balsam Partners, L.P.	/s/Gregory Shalette	Gregory Shalette	Deputy General Counsel of Manager of the General Partner	2019-02-14
0001315408-19-000001	101	CORE GLOBAL OPPORTUNITIES FUND LP	/s/ Don Despain	Don DesPain	Chief Compliance Officer	2019-02-14
0001670878-19-000005	101	Cannamark, Inc.	Anastasia Gilmartin	Anastasia Gilmartin	General Counsel, Corporate Secretary	2019-02-14
0001767360-19-000001	101	CiiTA, LLC	/s/ Jason Hardaway	Jason Hardaway	Managing Director	2019-02-12
0000919574-19-001812	101	NORTHERN SHIPPING FUND IV LP	/s/ Richard Lemanski	Richard Lemanski	CFO of the General Partner	2019-02-14
0001508619-19-000001	101	CORE GLOBAL OPPORTUNITIES FUND LTD.	/s/ Don DesPain	Don Despain	Chief Compliance Officer	2019-02-14
0001532854-19-000002	101	Blaze Bioscience, Inc.	/s/ Ludmila Lobanova	Ludmila Lobanova	SVP of Finance and Operations	2019-02-14
0001759682-19-000001	101	Bling Capital Fund I-A LP	/s/ Benjamin Ling	Benjamin Ling	Managing Director of the General Partner	2019-02-14
0001767694-19-000001	101	RCG LPP3 1760 Co-Invest, LP	/s/ Michael Boxer	Michael Boxer	Managing Director of the GP of Issuer	2019-02-14
0001767469-19-000001	101	P2P Global Inc.	Kristine LaVeau	Kristine LaVeau	Attorney in Fact for John Guido	2019-02-14
0001757631-19-000001	101	TVV Capital Partners IV-A, L.P.	Andrew W. Byrd, Jr.	Andrew W. Byrd, Jr.	Secretary of the General Partner of the Issuer	2019-02-14
0001761556-19-000002	101	Clear Ventures II, L.P.	/s/ Christopher J. Rust	Christopher J. Rust	Managing Director of the General Partner of the Issuer	2019-02-14
0001567619-19-004495	101	Tapestry Ventures, LLC	Amy Sweet	Amy Sweet	Manager	2019-02-09
0001683168-19-000398	101	Redstone Vista I LLC	/s/ John Ward	John Ward	Manager of TCMG Manager LLC, its Manager	2019-02-14
0000902664-19-001140	101	CS Adjacent Investment Partners, LP	/s/ T.A. McKinney	T.A. McKinney	General Counsel & Chief Compliance Officer	2019-02-11
0001754579-19-000001	101	Bling Capital Fund I LP	/s/ Benjamin Ling	Benjamin Ling	Managing Director of the General Partner	2019-02-14
0001707555-19-000002	101	Irrovation LLC	Kevin J Abts	Kevin J Abts	CEO	2019-02-14
0001015325-19-000001	101	Falfurrias Capital Partners IV, LP	/s/W. Edwin McMahan, Jr.	W. Edwin McMahan, Jr.	Managing Partner of General Partner	2019-02-14
0001673304-19-000001	101	Katie Kime, Inc.	/s/Katie Kime	Katie Kime	Chief Executive Officer	2019-02-14
0000932440-19-000009	101	295 BR HOLDCO DST	/s/ Douglas F. Blough	Douglas F. Blough	Chief Financial Officer	2019-02-14
0001209191-19-010246	101	Keystone Real Estate Lending Fund, L.P.	/s/ Alan Bell	Alan Bell	Attorney-in-Fact under Power of Attorney dated 07/03/2018	2019-02-14
0001619033-19-000001	101	Recros Medica, Inc.	/s/Kathleen D. Scott	Kathleen D. Scott	Chief Financial Officer	2019-02-11
0001461990-19-000001	101	NUVAIRA, INC.	/s/ Dennis W. Wahr	Dennis W. Wahr	Chief Executive Officer	2019-02-14
0001508620-19-000001	101	CORE VEGA FUND LP	/s/ Don DesPain	Don Despain	Chief Compliance Officer	2019-02-14
0001748037-19-000002	101	Metatrie Co.	Reilly Smith	Reilly Smith	President	2019-02-14
0001665921-19-000001	101	Surgical Care Partners of Melbourne, LLC	/s/ Cade Morgan	Cade Morgan	Attorney for the Issuer	2019-02-14
0001144204-19-008148	101	B PLUS E LLC	/s/ Camille Renshaw	Camille Renshaw	Chief Executive Officer	2019-02-14
0001765061-19-000003	101	VAWAA, Inc.	Geetika Agrawal	Geetika Agrawal	Chief Executive Officer	2019-02-14
0001767353-19-000001	101	CIFC Investment Grade CLO Fund LP	JULIAN WELDON	JULIAN WELDON	SECRETARY OF THE GP OF THE ISSUER	2019-02-14
0001209191-19-010173	101	Mercantil Bank Holding Corp	/s/ Ivan Trujillo	Ivan Trujillo	Secretary of the Board	2019-02-14
0001766090-19-000001	101	LGF I, L.P.	/s/ Lachy Groom	Lachy Groom	Managing Director of General Partner of Issuer	2019-02-14
0001768108-19-000001	101	MKE AURORA DENT/SWENSON INVESTMENTS LLC	Matthew J. Felton	Matthew J. Felton	Managing Member of Managing Member of Issuer	2019-02-14
0001549408-19-000004	101	ALETHEA MEDTECH FUND, LP	Tony Hsu	Tony Hsu	Manager of the General Partner	2019-02-14
0001767811-19-000001	101	Mobiati LLC	Karol Jasik	Karol Jasik	Member	2019-02-06
0001767754-19-000001	101	FK Investor LLC	/s/Yosef Katz	Yosef Katz	Manager	2019-02-14
0001567619-19-004402	101	Fall Line Endurance Fund, LP	/s/ Eric O'Brien	Eric O'Brien	Managing Member of the General Partner of the Issuer	2019-02-13
0001631050-19-000002	101	Grabbr, Inc.	Daniel Langston	Daniel Langston	CEO	2019-02-14
0001767713-19-000001	101	Bling Capital SPV A Neutron Holdings LP	/s/ Benjamin Ling	Benjamin Ling	Managing Director of the General Partner	2019-02-14
0000919574-19-001789	101	True Signal U.S. Fund LP	/s/ Eric Arnold	Eric Arnold	Managing Member of the General Partner	2019-02-14
0001764105-19-000001	101	Sage Equity Partners WGrand, LP	William Harrison Junell	William Harrison Junell	Managing Member of the General Partner of the Issuer	2019-02-07
0001591408-19-000005	101	DELAFIELD HAMBRECHT MICRO CAP VALUE FUND LP	/s/ Andrew H. Lufkin	Andrew H. Lufkin	DH Partners, LLC, Andrew H. Lufkin, General Partner	2019-02-13
0001767960-19-000001	101	Wander Technologies, Inc.	/s/ Landon Sanford	Landon Sanford	President and Chief Executive Officer	2019-02-14
0001767726-19-000002	101	Viking Partners Fund IV, LLC	Bret A. Caller	Bret A. Caller	Executive Officer of Manager of the Issuer	2019-02-14
0001767916-19-000001	101	TONKA OPPORTUNITIES FUND, L.P.	Justin Drew Kanive	Justin Drew Kanive	Managing Partner of the General Partner	2019-02-14
0000919574-19-001771	101	FLAT FOOTED II LP	/s/ Marc Andersen	Marc Andersen	Authorized Person of the General Partner	2019-02-14
0001183740-19-000025	101	Sweet Earth Holdings Corp	/s/ Chris Cooper	Chris Cooper	CFO	2019-02-12
0001767729-19-000002	101	Viking Partners Fund IV-Q, LLC	Bret A. Caller	Bret A. Caller	Executive Officer of the Manager of the Issuer	2019-02-14
0001768119-19-000001	101	AMC Small Cap Fund 2, LLC	James R. Hopper	James R. Hopper	Pres. of AMC the manager of the manager of Company	2019-02-14
0001728793-19-000001	101	Deciens Capital Fund 2018, L.P.	/s/ Daniel Kimerling	Daniel Kimerling	Managing Member of the General Partner	2019-02-14
0001756290-19-000001	101	Gasima Global Strategic Opportunities Fund LP	Anthony Pacione	Anthony Pacione	Managing Member of the GP and the Investment Manager	2019-02-14
0001472225-19-000001	101	Redmile Strategic Offshore Fund, Ltd	/s/ Jeremy Green	Jeremy Green	Authorized Person	2019-02-14
0001657545-19-000001	101	Redmile Capital Offshore Fund (ERISA), Ltd.	/s/ Jeremy Green	Jeremy Green	Authorized Person	2019-02-14
0001683168-19-000382	101	Palm Canyon Investors, LLC	/s/ Jacob Sachse	Jacob Sachse	Manager	2019-02-14
0001513079-19-000001	101	Redmile Capital Offshore Fund, Ltd.	/s/ Jeremy Green	Jeremy Green	Authorized Person	2019-02-14
0001766321-19-000002	101	FGI Metrolina REIT, LLC	Jeff Sutton	Jeff Sutton	Chief Compliance Officer	2019-02-14
0001348222-19-000001	101	CORE CLASSIC FUND L P	/s/ Don DesPain	Don Despain	Chief Compliance Officer	2019-02-14
0001727382-19-000001	101	Audios Ventures Inc.	Jeanine Wright	Jeanine Wright	Corporate Secretary	2019-02-14
0001723888-19-000001	101	REDMILE STRATEGIC FUND, LP	/s/ Jeremy Green	Jeremy Green	Managing Member of the General Partner of the Issuer	2019-02-14
0001407247-19-000001	101	Redmile Capital Fund LP	/s/ Jeremy Green	Jeremy Green	Managing Member of the General Partner of the Issuer	2019-02-14
0000935836-19-000134	101	Alta Park Private Opportunities Fund, LP - Series I	/s/ Rene Nam-Hee	Rene Nam-Hee	Chief Financial Officer of Alta Park Partners, LLC, GP	2019-02-14
0001767930-19-000002	101	Nuovo Properties LLC	Nicolas Ortega	Nicolas Ortega	Manager	2019-02-12
0001630367-19-000001	101	Armed Forces Wireless/Mobile, Inc.	/s/ ERROL A SMART	ERROL A SMART	CEO	2019-02-14
0001625264-19-000001	101	YourMechanic, Inc.	/s/ Anthony Rodio	Anthony Rodio	CEO and Secretary	2019-02-14
0001376474-19-000042	101	Broken Shed Distilleries, Inc.	/s/ Samuel A. Brown	Samuel A. Brown	Executive Chairman	2019-02-13
0001767806-19-000001	101	Edgewater Capital Partners IV, LP	Taurean Shattuck	Taurean Shattuck	Attorney-on-Fact under Power of Attorney dated 02/05/2019	2019-02-14
0001755120-19-000001	101	CASTLE BIOSCIENCES INC	/s/ Derek Maetzold	Derek Maetzold	President and CEO	2019-02-13
0001768088-19-000002	101	Millennium Medical Technologies	Gregory M Miles	Gregory M Miles	CEO,Founder	2019-02-14
0001591408-19-000004	101	DELAFIELD HAMBRECHT PARTNERS FUND LP	/s/ John D. Delafield	John D. Delafield	Managing Director	2019-02-13
0001581876-19-000001	101	COMPLION INC.	/s/ Richard Arlow	Richard Arlow	CEO	2019-02-14
0001766624-19-000001	101	Riverside Acceleration Capital Fund II, L.P.	Lauren A. Ford	Lauren A Ford	Attorney-in-Fact under Power of Attorney Dated 1/15/19	2019-02-14
0001764904-19-000001	101	25 Point Systems, Inc.	/s/ John Baier	John Baier	President	2019-02-13
0001668954-19-000001	101	ChartIQ Inc.	/s/ Daniel Schleifer	Daniel Schleifer	Chief Executive office	2019-02-14
0001766628-19-000001	101	RAC II Opportunity Fund, L.P.	Lauren A Ford	Lauren A Ford	Attorney-in-Fact under Power of Attorney Dated 1/15/19	2019-02-14
0001768061-19-000001	101	Gaocheng Fund I, L.P.	/s/ Jing Hong	Jing Hong	Principal	2019-02-14
0001738454-19-000001	101	Riverside Capital Appreciation Fund VII-A, L.P.	Lauren A Ford	Lauren A Ford	Attorney-in-Fact under Power of Attorney dated 4/10/2018	2019-02-14
0001738464-19-000002	101	Riverside Capital Appreciation Fund VII, L.P.	Lauren A Ford	Lauren A Ford	Attorney-in-Fact under Power of Attorney dated 4/10/2018	2019-02-14
0001706975-19-000001	101	TearClear Corp.	/s/ Kevin Hershfield	Kevin Hershfield	Chief Executive Officer	2019-02-14
0001755087-19-000004	101	AEI Net Lease Portfolio XI DST	RONA L NEWTSON	RONA L NEWTSON AUTHORIZED SIGNATORY FOR ROBERT P JOHNSON	ROBERT P JOHNSON PRESIDENT	2019-02-14
0001768093-19-000001	101	Coastal UP Atlantic Partners LLC	David Newman	David Newman	Principal of managing member of Issuer	2019-02-14
0001729265-19-000001	101	Hotel Tango Whiskey, Inc.	Travis E. Barnes	Travis E. Barnes	President and Chief Executive Officer	2019-02-14
0001768039-19-000001	101	TCW Sepulveda Focused Value Fund, L.P.	Harold Henderson	Harold Henderson	Senior Vice President	2019-02-14
0001731548-19-000001	101	Aryeh Capital Partners US, LP	Jeremy Weisstub	Jeremy Weisstub	Director	2019-02-14
0001324694-19-000002	101	Iron Gate Investments, LLC	/s/ Douglas J. Fahoury	Douglas J. Fahoury	Manager of Iron Gate Management, LLC, Manager of Issuer	2019-02-14
0001765399-19-000001	101	POPLAR VENTURES, L.P.	/s/ John H. Willmoth	JOHN H. WILLMOTH	MANAGING MEMBER OF THE GENERAL PARTNER OF THE ISSUER	2019-02-14
0001315863-19-000172	101	Mistell Onshore Fund LP	/s/Stephen Klein	Stephen Klein	COO	2019-02-14
0001600375-19-000003	101	Vilas Fund, LP	John C Thompson	John C Thompson	CEO	2019-02-14
0001768001-19-000001	101	Foxpass, Inc.	/s/ Aren Sandersen	Aren Sandersen	Chief Executive Officer	2019-02-12
0001204815-19-000002	101	Select Fixed Income LP	Dean C Tellone	Dean Tellone	Executive Officer	2019-02-14
0001717901-19-000001	101	Chromatic Capital Fund LP	James Fickel	James Fickel	Managing Member of Chromatic Capital Management LLC	2019-02-14
0001637016-19-000001	101	Battery Alternative Income Fund Ltd.	Daniel burns	Daniel Burns	CFO of the Manager of the Issuer	2019-02-14
0001767853-19-000001	101	CPIV Haven Holdings, LLC	/s/Bradley M. Langer	Bradley M. Langer	Manager	2019-02-14
0001507943-19-000008	101	Series 6 Enhanced U.S. Equities with Defensive Risk Premia of RLAM Multi-Series LLC	Thomas Keresztes	Thomas Keresztes	Member of RLAM Multi-Series LLC	2019-02-14
0001766630-19-000001	102	Graham Partners V Parallel, L.P.	/s/ Steven C. Graham	Steven C. Graham	Sole Member of the GP of the Issuer's GP	2019-02-14
0001766630-19-000001	101	Graham Partners V, L.P.	/s/ Steven C. Graham	Steven C. Graham	Sole Member of the GP of the Issuer's GP	2019-02-14
0001766630-19-000001	103	Graham Partners V (A), L.P.	/s/ Steven C. Graham	Steven C. Graham	Sole Member of the GP of the Issuer's GP	2019-02-14
0001766630-19-000001	105	Graham Partners V (B-II), L.P.	/s/ Steven C. Graham	Steven C. Graham	Sole Member of the GP of the Issuer's GP	2019-02-14
0001766630-19-000001	104	Graham Partners V (B-I), L.P.	/s/ Steven C. Graham	Steven C. Graham	Sole Member of the GP of the Issuer's GP	2019-02-14
0000917666-19-000001	101	PRAIRIE FARMS DAIRY INC	/edward lynn mullins/	Edward Lynn Mullins	Chief Executive Officer and Executive Vice President	2019-02-14
0001204815-19-000001	101	PURE GROWTH LP	Dean C Tellone	Dean Tellone	President of Tellone Management Group, Inc.	2019-02-14
0001722695-19-000001	101	Inter-Atlantic Stonybrook Insurtech Ventures, L.P.	/s/ Andrew S. Lerner	Andrew S. Lerner	Managing Member of General Partner	2019-02-13
0001765754-19-000001	101	VP Tender Holdings, LLC	Douglas Korn	Douglas Korn	Manager	2019-02-14
0001437749-19-002579	101	Chess Mobile HoldCo, Inc.	/s/ Hans P. Morefield	Hans P. Morefield	Chief Executive Officer	2019-02-12
0001661454-19-000001	101	Icelandic Provisions, Inc.	/s/ Kyle Wagner	Kyle Wagner	Director of Finance	2019-02-14
0001765859-19-000001	101	Precursor Ventures Outgrowth, LP - Series 3	Charles Hudson	Charles Hudson	Managing Member of the Issuer's Manager	2019-02-14
0001690564-19-000001	101	Sparta Software Corp	/s/ Phil Wagner	Phil Wagner	President	2019-02-14
0001766865-19-000001	101	Wanderful Enterprises, Inc.	/s/ Elizabeth Santos	Elizabeth Santos	President	2019-02-14
0001768046-19-000001	101	HUDSON APARTMENTS - DENVER LLC	Jared Curtis	Jared Curtis	Manager, Curtis Capital Group LLC, its Manager	2019-02-14
0001765715-19-000001	101	VP Tender Management, LLC	Douglas Korn	Douglas Korn	Manager	2019-02-14
0001451840-19-000001	101	J&J SOLUTIONS INC	Mitch S. Moeller	Mitch S. Moeller, by William T. McCartan, POA	President and CEO	2019-02-14
0001767260-19-000001	101	Appian Natural Resources Fund II LP	/s/ Michael Newton	Michael Newton	Director of the General Partner of the Issuer	2019-02-13
0001767734-19-000001	101	Cali'Flour Foods, LLC	/s/ Amy Lacey	Amy Lacey	CEO	2019-02-12
0001767117-19-000001	101	TPEG Southwest SL Investors LLC	Dan Meader	Dan Meader	Vice President	2019-02-14
0001762661-19-000001	101	Base Rate Fund QP, L.P.	/s/ Carl Y. Baggett	Carl Y. Baggett	Managing Member	2019-02-14
0001768071-19-000001	101	Wright Wold Scientific, LLC	/s/ Zachary Wright	Zachary Wright	Member and Chief Executive Officer	2019-02-11
0001763544-19-000004	101	Philip Equities, LP	/s/Josh Barach	Josh Barach	Manager of General Partner	2019-02-14
0001762660-19-000001	101	Base Rate Fund, L.P.	/s/ Cary Y. Baggett	Carl Y. Baggett	Managing Member	2019-02-14
0001596771-19-000007	101	ESA Acquisition, LLC	/s/ Luke K. Plumpton	Luke K. Plumpton	Chairman, President and Secretary	2019-02-14
0001767722-19-000001	101	OWP Ventures, Inc.	/s/ Craig Ellins	Craig Ellins	Chief Executive Officer	2019-02-14
0001563301-19-000001	101	Shuttersong Inc	William Agush	William Agush	President	2019-02-13
0001596771-19-000006	101	O2 Oxygen 1 Priority Intermediate, LLC	/s/ Luke K. Plumpton	Luke K. Plumpton	President	2019-02-14
0001042167-19-000012	101	Choice Financial Holdings, Inc.	/s/ Brian L. Johnson	Brian L. Johnson	President	2019-02-13
0001420608-19-000001	101	PREMIER SURGERY CENTER OF LOUISVILLE LP	/s/ Cade Morgan	Cade Morgan	Attorney for Issuer	2019-02-14
0001596771-19-000005	101	1 Priority Holdings, LLC	/s/ Luke K. Plumpton	Luke K. Plumpton	Chairman	2019-02-14
0001768030-19-000001	101	Laudio LLC	/c/Constantine John Floros	Contantine John Floros	Treasurer	2019-02-14
0001618835-19-000010	101	Evofem Biosciences, Inc.	/s/ Justin J. File	Justin J. File	Chief Financial Officer	2019-02-14
0000898432-19-000214	101	Lone Star Fund XI, L.P.	/s/ Sandra Collins	Sandra Collins	Vice President of the GP of the GP of the Issuer	2019-02-14
0001764596-19-000001	101	A-RH II, a Series of A-ST Opportunity Funds, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-02-14
0001309484-19-000002	101	CMWA Micro Cap Fund LLC	Cynthia G. Koury	Cynthia G. Koury	Executive Officer	2019-02-14
0001767732-19-000004	101	PGIM High Yield Bond Fund of the Prudential Trust Co Institutional Business Trust	/s/ Michael Williamson	Michael Williamson	Chief Trust Officer of the Trustee of the Issuer	2019-02-13
0001766612-19-000001	101	LC Fund VIII, L.P.	/s/ Hao Chen	Hao Chen	Director of the Issuer's GP	2019-02-14
0001766358-19-000001	101	Wellvana San Antonio, LLC	/s/ Michael Platek	Michael Platek	Member-Manager	2019-02-14
0001701230-19-000001	101	GREEN LEAF MEDICAL, LLC	/s/ Philip T. Goldberg	Philip T. Goldberg	Chief Executive Officer	2019-02-14
0001096906-19-000064	101	STRATEGIC CRITICAL METALS Corp	/s/J Gregg Rollins	J Gregg Rollins	Treasurer	2019-02-11
0001767732-19-000003	101	PGIM Core Plus Bond Fund of the Prudential Trust Co Institutional Business Trust	/s/ Michael Williamson	Michael Williamson	Chief Trust Officer of the Trustee of the Issuer	2019-02-13
0001767732-19-000002	101	PGIM Core Conservative Bond Fund of the Prudential Trust Co Institutional Business Trust	/s/ Michael Williamson	Michael Williamson	Chief Trust Officer of the Trustee of the Issuer	2019-02-13
0001767732-19-000001	101	PGIM Absolute Total Return Bond Fund of the Prudential Trust Co Institutional Business Trust	/s/ Michael Williamson	Michael Williamson	Chief Trust Officer of the Trustee of the Issuer	2019-02-13
0000902664-19-001054	101	Solus Senior High Income Fund Domestic LP	/s/ Christopher A. Pucillo	Christopher A. Pucillo	Member of the General Partner	2019-02-14
0001767873-19-000001	101	Primary Wave Music IP Fund 2, LP	Ramon Villa	Ramon Villa	Executive Vice President of GP of Issuer	2019-02-13
0000902664-19-001053	101	Solus Senior High Income Dedicated Fund LP	/s/ Christopher A. Pucillo	Christopher A. Pucillo	Member of the General Partner	2019-02-14
0001144204-19-007697	101	York AN Fund, L.P.	/s/ Richard P. Swanson	Richard P. Swanson	General Counsel of the General Partner of the Issuer	2019-02-14
0001744380-19-000001	101	Life Electric Vehicles, Inc.	Daniel DelAguila	Daniel DelAguila	Secretary	2019-02-14
0001596771-19-000004	101	Del Toro Footwear LLC	/s/ Joseph Park	Joseph Park	Chief Operating Officer	2019-02-13
0001673605-19-000001	101	Trendly, Inc.	Charles-Albert Gorra	Charles-Albert Gorra	President and Chief Executive Officer	2019-02-14
0001724485-19-000012	101	NPB Manager Fund, SPC-Segregated Portfolio 105	/s/ Michelle Wilson-Clarke	Michelle Wilson-Clarke	Director	2019-02-14
0001442547-19-000002	101	CMWA LARGE CAP PARTNERSHIP LLC	Cynthia G. Koury	Cynthia G. Koury	Senior Vice President	2019-02-14
0001728567-19-000001	101	Settlement Music School Pre-K Scholarship Collaborative LLC	/s/ Helen Eaton	Helen Eaton	CEO of Manager, SMS Collaborative Management, LLC	2019-02-14
0001321086-19-000002	101	CMWA Capital Appreciation Fund LLC	Cynthia G. Koury	Cynthia G. Koury	Executive Officer	2019-02-14
